Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
all_domains,blocks,wl,lstm,state,1164,union,3,11.11%,15.71%,100.00%,0.00%,95.33,6.60,100.00%,0.00%,100.00%,0.00%,16.89,4.57,15.00%,8.16%,100.00%,0.00%,120.83,3.21
all_domains,gripper,wl,lstm,state,1164,union,3,33.33%,47.14%,100.00%,0.00%,101.67,47.14,77.78%,31.43%,100.00%,0.00%,37.22,25.86,4.17%,5.89%,100.00%,0.00%,305.08,6.95
all_domains,logistics,wl,lstm,state,1164,union,3,8.33%,11.79%,100.00%,0.00%,145.67,6.13,66.67%,27.22%,100.00%,0.00%,78.07,20.06,0.00%,0.00%,100.00%,0.00%,293.33,0.00
all_domains,visitall-from-everywhere,wl,lstm,state,1164,union,3,100.00%,0.00%,100.00%,0.00%,19.14,0.22,100.00%,0.00%,100.00%,0.00%,9.14,0.00,86.61%,17.67%,100.00%,0.00%,151.12,123.19
all_domains,blocks,wl,lstm,delta,1164,union,3,33.33%,0.00%,100.00%,0.00%,88.89,2.69,88.89%,15.71%,100.00%,0.00%,27.56,17.36,6.67%,4.71%,100.00%,0.00%,103.83,1.16
all_domains,gripper,wl,lstm,delta,1164,union,3,66.67%,47.14%,100.00%,0.00%,98.33,38.59,77.78%,31.43%,100.00%,0.00%,52.11,26.16,27.08%,38.30%,100.00%,0.00%,266.35,60.32
all_domains,logistics,wl,lstm,delta,1164,union,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,18.52%,10.48%,100.00%,0.00%,122.52,7.05,0.00%,0.00%,100.00%,0.00%,293.33,0.00
all_domains,visitall-from-everywhere,wl,lstm,delta,1164,union,3,100.00%,0.00%,100.00%,0.00%,19.36,0.63,100.00%,0.00%,100.00%,0.00%,8.75,0.33,96.96%,1.14%,100.00%,0.00%,76.59,2.15
all_domains,blocks,wl,xgboost,state,1164,union,3,100.00%,0.00%,100.00%,0.00%,25.33,0.00,100.00%,0.00%,100.00%,0.00%,12.67,0.00,30.00%,0.00%,100.00%,0.00%,108.50,0.00
all_domains,gripper,wl,xgboost,state,1164,union,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,33.33%,0.00%,100.00%,0.00%,88.33,0.00,0.00%,0.00%,100.00%,0.00%,310.00,0.00
all_domains,logistics,wl,xgboost,state,1164,union,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,111.78,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
all_domains,visitall-from-everywhere,wl,xgboost,state,1164,union,3,100.00%,0.00%,100.00%,0.00%,19.12,0.00,100.00%,0.00%,100.00%,0.00%,8.76,0.00,21.46%,0.00%,100.00%,0.00%,391.70,0.00
all_domains,blocks,wl,xgboost,delta,1164,union,3,66.67%,0.00%,100.00%,0.00%,44.67,0.00,100.00%,0.00%,100.00%,0.00%,12.67,0.00,60.00%,0.00%,100.00%,0.00%,77.10,0.00
all_domains,gripper,wl,xgboost,delta,1164,union,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,33.33%,0.00%,100.00%,0.00%,90.33,0.00,0.00%,0.00%,100.00%,0.00%,292.94,0.00
all_domains,logistics,wl,xgboost,delta,1164,union,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,122.89,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
