regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,shortest_path,lstm,delta,gripper,test-extrapolation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\gripper_shortest_path_test-extrapolation_delta_results.json,16,0.25,1.0,280.625
domain_dependent,13,shortest_path,lstm,delta,logistics,validation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\logistics_shortest_path_validation_delta_results.json,4,0.0,1.0,150.0
domain_dependent,13,shortest_path,lstm,delta,logistics,test-interpolation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\logistics_shortest_path_test-interpolation_delta_results.json,9,0.2222222222222222,1.0,118.33333333333333
domain_dependent,13,shortest_path,lstm,delta,logistics,test-extrapolation,32,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\logistics_shortest_path_test-extrapolation_delta_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,shortest_path,lstm,delta,visitall-from-everywhere,validation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\visitall-from-everywhere_shortest_path_validation_delta_results.json,24,1.0,1.0,18.833333333333332
domain_dependent,13,shortest_path,lstm,delta,visitall-from-everywhere,test-interpolation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\visitall-from-everywhere_shortest_path_test-interpolation_delta_results.json,37,1.0,1.0,8.486486486486486
domain_dependent,13,shortest_path,lstm,delta,visitall-from-everywhere,test-extrapolation,27,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\lstm_delta\visitall-from-everywhere_shortest_path_test-extrapolation_delta_results.json,219,1.0,1.0,61.47945205479452
domain_dependent,13,shortest_path,xgboost,state,blocks,validation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\xgboost_state\blocks_shortest_path_validation_state_results.json,3,0.0,1.0,13.333333333333334
domain_dependent,13,shortest_path,xgboost,state,blocks,test-interpolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\xgboost_state\blocks_shortest_path_test-interpolation_state_results.json,3,0.0,1.0,14.0
domain_dependent,13,shortest_path,xgboost,state,blocks,test-extrapolation,30,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\xgboost_state\blocks_shortest_path_test-extrapolation_state_results.json,20,0.0,1.0,125.0
domain_dependent,13,shortest_path,xgboost,state,gripper,validation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\xgboost_state\gripper_shortest_path_validation_state_results.json,2,0.5,1.0,87.5
domain_dependent,13,shortest_path,xgboost,state,gripper,test-interpolation,28,domain_specific,outputs\domain_dependent\results\seed_13\shortest_path\xgboost_state\gripper_shortest_path_test-interpolation_state_results.json,3,1.0,1.0,19.0
